Timestamp,sample_ID,cohort_ID,sample_type,sample_comment
21/06/2022 16:36:40,sm_001,ch_001,blood,"""Blood was used to determine PFOS body burden in gulls as proposed in earlier studies [...] Blood (2–3 mL) was obtained by puncturing the brachial vein using a heparinized syringe and was placed in an eppendorf with 0.05 mL of heparin, transported refrigerated to the laboratory and kept at -20 °C until analysis."""
21/06/2022 16:39:00,sm_002,ch_002,whole egg,"""PFOS was liquid–liquid extracted from homogenized wet samples using acetonitrile, adapted from the method of Fernández-Sanjuan et al. (2010) and Vicente et al. (2012). Briefly, about 1 g of egg (wet weight) was weighed in polypropylene tubes and the internal standard (m-PFOS) was added at a concentration of 100 ng/g, and incubated for 18 h at 4 °C."""
21/06/2022 16:57:21,sm_003,ch_003,blood,"""Blood was used to determine PFOS body burden in gulls as proposed in earlier studies [...] Blood (2–3 mL) was obtained by puncturing the brachial vein using a heparinized syringe and was placed in an eppendorf with 0.05 mL of heparin, transported refrigerated to the laboratory and kept at -20 °C until analysis."""
21/06/2022 16:58:27,sm_004,ch_004,whole egg,"""PFOS was liquid–liquid extracted from homogenized wet samples using acetonitrile, adapted from the method of Fernández-Sanjuan et al. (2010) and Vicente et al. (2012). Briefly, about 1 g of egg (wet weight) was weighed in polypropylene tubes and the internal standard (m-PFOS) was added at a concentration of 100 ng/g, and incubated for 18 h at 4 °C."""
22/06/2022 14:54:43,sm_005,ch_005,liver,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8), euthanized by decapitation, from Chantry Island, Lake Huron in April 2010 (See Fig. S1 for colony location)."""
22/06/2022 14:56:24,sm_006,ch_005,brain,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8), euthanized by decapitation, from Chantry Island, Lake Huron in April 2010 (See Fig. S1 for colony location)."""
22/06/2022 14:56:44,sm_007,ch_005,muscle,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8), euthanized by decapitation, from Chantry Island, Lake Huron in April 2010 (See Fig. S1 for colony location)."""
22/06/2022 14:57:06,sm_008,ch_005,adipose,"""Samples of organs and tissues, i.e., liver, blood, whole brain, muscle and adipose, were collected from female herring gulls (n = 8), euthanized by decapitation, from Chantry Island, Lake Huron in April 2010 (See Fig. S1 for colony location)."""
22/06/2022 14:58:52,sm_009,ch_006,yolk,"""The complete clutches of eggs (n = 17) from the nests from the eight euthanized female herring gulls were collected (seven nests with two eggs, one nest with three eggs). The eggs were kept at ambient temperature, but not incubated, by placing them in a foam padded case. All of the frozen tissue and eggs were transported to Environment Canada’s National Wildlife Specimen Bank (EC-NWSB) in Ottawa, Canada within 36 h of collection. Frozen samples were stored in the ECNWSB at 40 C prior to chemical analysis. Shortly after arrival at the EC-NWSB, the eggs were processed by separating and homogenizing the yolk and albumen and storing them at -40 C until chemical analysis. Animal capturing, handling and euthanasia were approved by the Animal Care Committee for NWRC and Ontario region of the Canadian Wildlife Service (Environment Canada)."""
22/06/2022 14:59:22,sm_010,ch_006,albumen,"""The complete clutches of eggs (n = 17) from the nests from the eight euthanized female herring gulls were collected (seven nests with two eggs, one nest with three eggs). The eggs were kept at ambient temperature, but not incubated, by placing them in a foam padded case. All of the frozen tissue and eggs were transported to Environment Canada’s National Wildlife Specimen Bank (EC-NWSB) in Ottawa, Canada within 36 h of collection. Frozen samples were stored in the ECNWSB at 40 C prior to chemical analysis. Shortly after arrival at the EC-NWSB, the eggs were processed by separating and homogenizing the yolk and albumen and storing them at -40 C until chemical analysis. Animal capturing, handling and euthanasia were approved by the Animal Care Committee for NWRC and Ontario region of the Canadian Wildlife Service (Environment Canada)."""
